Start,End,1,11,12
Mon Jan 22 09:00:00 2024,Mon Jan 22 09:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Jan 22 09:30:00 2024,Mon Jan 22 10:00:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Jan 22 10:00:00 2024,Mon Jan 22 10:30:00 2024,Deep Learning,Deep Learning 09:00 AM-10:30 AM ROOM: Think Tank 7 (1.409),Database Systems 09:00 AM-10:30 AM ROOM: Lecture Theatre 5 (2.505)
Mon Jan 22 10:30:00 2024,Mon Jan 22 11:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Jan 22 11:00:00 2024,Mon Jan 22 11:30:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Jan 22 11:30:00 2024,Mon Jan 22 12:00:00 2024,Programming Language Concepts,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat,Programming Language Concepts 10:30 AM-12:00 PM ROOM: Lecture Theat
Mon Jan 22 12:00:00 2024,Mon Jan 22 15:00:00 2024,FREE,FREE,FREE
Mon Jan 22 15:00:00 2024,Mon Jan 22 15:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 22 15:30:00 2024,Mon Jan 22 16:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 22 16:00:00 2024,Mon Jan 22 16:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 22 16:30:00 2024,Mon Jan 22 17:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 22 17:00:00 2024,Mon Jan 22 17:30:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
Mon Jan 22 17:30:00 2024,Mon Jan 22 18:00:00 2024,,International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415),International Trade 03:00 PM-06:00 PM ROOM: Think Tank 9 (1.415)
